,Incident Summary,State,Open Date
315,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 08:27
316,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 08:26
317,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 08:24
318,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 08:23
319,HSCN - Slow / Degraded Performance,Closed,15-Sep-2023 15:18
320,HSCN - Slow / Degraded Performance,Closed,15-Sep-2023 14:58
321,HSCN - Intermittent Outage,Closed,15-Sep-2023 14:50
322,HSCN - Internet Outage,Closed,15-Sep-2023 10:58
323,HSCN - Internet Outage raised by ISP,Closed,15-Sep-2023 10:11
324,HSCN - Slow / Degraded Performance,Closed,15-Sep-2023 10:00
325,HSCN - Internet Outage,Closed,14-Sep-2023 16:31
326,HSCN - Slow / Degraded Performance,Closed,14-Sep-2023 16:27
327,HSCN - Internet Outage - MSO,Closed,14-Sep-2023 16:26
328,HSCN - Intermittent Outage,Closed,14-Sep-2023 16:18
329,HSCN - Intermittent Outage,Closed,14-Sep-2023 16:09
330,HSCN - Internet Outage,Closed,14-Sep-2023 15:06
331,HSCN - Internet Outage,Closed,14-Sep-2023 15:00
332,HSCN - Slow / Degraded Performance,Closed,14-Sep-2023 14:03
333,HSCN - Slow / Degraded Performance,Closed,14-Sep-2023 13:05
334,HSCN - Internet Outage,Closed,14-Sep-2023 11:18
335,HSCN - Internet Outage,Closed,14-Sep-2023 10:19
336,HSCN - Slow / Degraded Performance,Closed,14-Sep-2023 10:09
337,[Overflow] HSCN - Internet Outage,Closed,13-Sep-2023 18:44
338,HSCN - Intermittent Outage,Closed,13-Sep-2023 16:45
339,HSCN - Internet Outage,Closed,13-Sep-2023 15:35
340,HSCN - Internet Outage,Closed,13-Sep-2023 14:13
341,HSCN - Internet Outage,Closed,13-Sep-2023 14:08
342,HSCN - Internet Outage,Closed,13-Sep-2023 14:00
343,HSCN - Internet Outage,Closed,13-Sep-2023 10:06
344,HSCN - Internet Outage,Closed,12-Sep-2023 16:05
345,HSCN - Internet server,Closed,12-Sep-2023 15:31
346,HSCN - Slow / Degraded Performance,Closed,12-Sep-2023 15:19
347,HSCN - Slow / Degraded Performance,Closed,12-Sep-2023 14:06
348,HSCN - Slow / Degraded Performance,Closed,12-Sep-2023 11:23
349,HSCN - Internet Outage,Closed,12-Sep-2023 10:21
350,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 17:27
351,HSCN - Intermittent Outage,Closed,11-Sep-2023 16:00
352,HSCN - Slow / Degraded Performance,Closed,11-Sep-2023 15:46
353,HSCN - Slow / Degraded Performance,Closed,11-Sep-2023 15:42
354,HSCN - Internet Outage,Closed,11-Sep-2023 14:54
355,HSCN - Slow / Degraded Performance,Closed,11-Sep-2023 11:02
356,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:47
357,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:41
358,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:31
359,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:29
360,HSCN - Intermittent Outage raised by ISP,Closed,11-Sep-2023 10:26
361,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:24
362,HSCN - Internet Outage raised by ISP,Closed,11-Sep-2023 10:23
363,HSCN - Intermittent Outage raised by ISP,Closed,11-Sep-2023 10:21
364,HSCN - Internet Outage,Closed,11-Sep-2023 09:23
365,HSCN - Internet Outage,Closed,11-Sep-2023 08:57
366,HSCN - Intermittent Outage,Closed,08-Sep-2023 14:53
367,HSCN - Internet Outage,Closed,08-Sep-2023 11:27
368,HSCN - Internet Outage,Closed,08-Sep-2023 09:04
369,HSCN - Router Temp,Closed,08-Sep-2023 09:00
370,HSCN - Router Temp,Closed,08-Sep-2023 08:33
371,HSCN - Internet Outage,Closed,07-Sep-2023 17:13
372,HSCN - Internet Outage raised by ISP,Closed,07-Sep-2023 15:55
373,HSCN - Internet Outage,Closed,07-Sep-2023 13:55
374,HSCN - Internet Outage,Closed,07-Sep-2023 13:12
375,HSCN - Intermittent Outage raised by ISP,Closed,07-Sep-2023 10:16
376,HSCN - Slow / Degraded Performance,Closed,06-Sep-2023 16:39
377,HSCN - Internet Outage,Closed,06-Sep-2023 16:14
378,HSCN - Internet Outage,Closed,06-Sep-2023 16:12
379,HSCN - Internet Outage,Closed,06-Sep-2023 11:20
380,HSCN - Internet Outage,Closed,06-Sep-2023 10:57
381,HSCN - Intermittent Outage,Closed,06-Sep-2023 10:05
382,HSCN - Internet Outage,Closed,06-Sep-2023 09:59
383,HSCN - Internet Outage raised by ISP,Closed,06-Sep-2023 09:26
384,HSCN - Intermittent Outage,Closed,05-Sep-2023 16:05
385,HSCN - Internet Outage,Closed,05-Sep-2023 15:53
386,HSCN Line upgrade FTTC,Closed,05-Sep-2023 12:00
387,HSCN - Slow / Degraded Performance,Closed,05-Sep-2023 11:47
388,HSCN - Internet Outage,Closed,05-Sep-2023 09:40
389,HSCN - Internet Outage,Closed,05-Sep-2023 08:57
390,HSCN - Slow / Degraded Performance,Closed,04-Sep-2023 14:23
391,HSCN - Internet Outage,Closed,04-Sep-2023 11:40
392,HSCN - Internet Outage,Closed,04-Sep-2023 11:27
393,HSCN - Internet Outage - MSO,Closed,04-Sep-2023 08:55
394,HSCN - Internet Outage,Closed,04-Sep-2023 08:50
395,HSCN - Internet Outage,Closed,02-Sep-2023 09:48
396,Chase on HSCN upgrade,Closed,01-Sep-2023 14:15
397,HSCN - Port Open Request,Closed,01-Sep-2023 13:40
398,HSCN - Internet Outage,Closed,01-Sep-2023 13:21
399,HSCN - Internet Outage,Closed,01-Sep-2023 13:20
400,HSCN - Internet Outage,Closed,01-Sep-2023 13:19
401,HSCN - Intermittent Outage,Closed,01-Sep-2023 13:18
402,HSCN - Internet Outage,Closed,01-Sep-2023 13:17
403,HSCN - Internet Outage,Closed,01-Sep-2023 13:15
404,HSCN - Intermittent Outage,Closed,01-Sep-2023 13:14
405,HSCN - Internet Outage,Closed,01-Sep-2023 13:12
406,HSCN - Internet Outage,Closed,01-Sep-2023 13:11
407,HSCN - Internet Outage,Closed,01-Sep-2023 13:10
408,HSCN - Intermittent Outage,Closed,01-Sep-2023 13:09
409,HSCN - Intermittent Outage,Closed,01-Sep-2023 13:08
410,HSCN - Internet Outage,Closed,01-Sep-2023 13:07
411,HSCN - Intermittent Outage,Closed,01-Sep-2023 13:06
412,HSCN - Internet Outage,Closed,01-Sep-2023 13:04
413,HSCN - Internet Outage,Closed,01-Sep-2023 10:41
414,HSCN - Internet Outage raised by ISP,Closed,01-Sep-2023 08:02
415,HSCN - Slow / Degraded Performance,Closed,31-Aug-2023 17:51
416,HSCN - Internet Outage,Closed,31-Aug-2023 11:15
417,HSCN - Internet Outage,Closed,31-Aug-2023 11:14
418,HSCN - Internet Outage,Closed,31-Aug-2023 09:16
